event,circuit,team,category,weighted_speed_delta_vs_mercedes_pct,time_weight_seconds,segment_count,segments
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Haas F1 Team,Slow corners,1.517,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,McLaren,Slow corners,0.944,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Mercedes,Slow corners,0.0,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Racing Bulls,Slow corners,3.087,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Red Bull Racing,Slow corners,-0.071,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Williams,Slow corners,2.67,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Alpine,Straights,1.216,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Aston Martin,Straights,4.887,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Audi,Straights,1.4,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Cadillac,Straights,3.127,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Ferrari,Straights,0.637,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Haas F1 Team,Straights,2.208,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,McLaren,Straights,-0.062,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Mercedes,Straights,0.0,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Racing Bulls,Straights,0.274,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Red Bull Racing,Straights,0.284,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Williams,Straights,1.834,53.440304373835154,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Alpine,Fast corners,2.381,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Aston Martin,Fast corners,7.684,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Audi,Fast corners,2.049,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Cadillac,Fast corners,6.246,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Ferrari,Fast corners,0.974,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Haas F1 Team,Fast corners,3.698,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,McLaren,Fast corners,1.477,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Mercedes,Fast corners,0.0,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Racing Bulls,Fast corners,2.817,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Red Bull Racing,Fast corners,0.648,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Williams,Fast corners,3.224,21.570439711914176,4,"seg_02, seg_07, seg_09, seg_11"
fastf1_2026_british_grand_prix,Silverstone Circuit,Alpine,Slow corners,2.558,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Aston Martin,Slow corners,4.02,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Audi,Slow corners,1.561,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Cadillac,Slow corners,3.827,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Ferrari,Slow corners,0.54,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Haas F1 Team,Slow corners,3.814,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,McLaren,Slow corners,1.356,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Mercedes,Slow corners,0.0,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Racing Bulls,Slow corners,1.337,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Red Bull Racing,Slow corners,-1.357,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Williams,Slow corners,0.419,35.57360289239339,3,"seg_03, seg_05, seg_13"
fastf1_2026_british_grand_prix,Silverstone Circuit,Alpine,Straights,1.411,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Aston Martin,Straights,3.921,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Audi,Straights,0.847,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Cadillac,Straights,2.119,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Ferrari,Straights,-0.245,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
